element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
gene;54;Gene affected;;ithaca;COSMIC genes (can be replaced by other list of genes);mref
gene;54;genetic_syndrome_ynu;previous_cancer_genetic_syndromes;EURACAN;Genetic syndrome;1, Yes | 2, No | 9, Unknown
gene;54;Specify the genetic abornalities found;Patient's history;PaedCan;;String
gene;54;Genetic chronic primary adrenal insufficiency;ADRENAL;EuRR-Bone & EuRRECa;Genetic chronic primary adrenal insufficiency;
gene;54;Genetic hypoparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Genetic hypoparathyroidism;
gene;54;Familial isolated hypoparathyroidism due to agenesis of parathyroid gland;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Familial isolated hypoparathyroidism due to agenesis of parathyroid gland;
gene;54;Genetic hyperparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Genetic hyperparathyroidism;
gene;54;Genetic diabetes mellitus;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Genetic diabetes mellitus;
gene;54;Other genetically specified MODY;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified MODY;
gene;54;Other genetically specified neonatal diabetes;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified neonatal diabetes;
gene;54;Genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Genetic defects in insulin action;
gene;54;Congenital-generalized lipodystrophy;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Congenital-generalized lipodystrophy;
gene;54;Other specified genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other specified genetic defects in insulin action;
gene;54;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;
gene;54;Leptin receptor gene deficiency;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Leptin receptor gene deficiency;
gene;54;Non-Syndromic Genetic Obesity - Other;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non-Syndromic Genetic Obesity - Other;
gene;54;Syndromic Genetic Obesity – Prader-Willi Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Prader-Willi Syndrome;
gene;54;Syndromic Genetic Obesity – PWS like Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – PWS like Syndrome;
gene;54;Syndromic Genetic Obesity – PHP with AHO;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – PHP with AHO;
gene;54;Syndromic Genetic Obesity – Rubenstein Taybi Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Rubenstein Taybi Syndrome;
gene;54;Syndromic Genetic Obesity – Temple Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Temple Syndrome;
gene;54;Syndromic Genetic Obesity - Other;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity - Other;
gene;54;Combined pituitary hormone deficiencies, genetic forms;PITUITARY;EuRR-Bone & EuRRECa;Combined pituitary hormone deficiencies, genetic forms;
gene;54;Complete gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Complete gonadal dysgenesis;
gene;54;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
gene;54;Complete gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Complete gonadal dysgenesis;
gene;54;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
gene;54;Fibrochondrogenesis ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Fibrochondrogenesis ;
gene;54;Atelosteogenesis type II ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Atelosteogenesis type II ;
gene;54;High bone mass osteogenesis imperfecta ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;High bone mass osteogenesis imperfecta ;
gene;54;Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome ;
gene;54;Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome ;
gene;54;Osteogenesis imperfecta ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Osteogenesis imperfecta ;
gene;54;Ehlers-Danlos/osteogenesis imperfecta syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Ehlers-Danlos/osteogenesis imperfecta syndrome ;
gene;54;Was a causative gene abnormality identified?;Genetic diagnosis;ERKNet; ;gen_diagnosis
gene;54;Please specify result of cytogenetic analysis ;Genetic diagnosis;ERKNet; ;gen_cyto_result
gene;54;Please specify genetic abnormality;Genetic diagnosis;ERKNet;If no gentetic specifications are given in diagnosis;gen_result
genetic;26;geneticVariantLabel;geneticVariant;Genturis;;string
genetic;26;Genetics  (germline);subject;Genturis;;compound
genetic;26;Genetic diagnosis;subject;Genturis;Is a genetic test performed?;enum
genetic;26;Genetic test type;subject;Genturis;What kind of genetic testing has been performed?;categoricalmref
genetic;26;Genetic variants;subject;Genturis;Genetic variants;mref
genetic;26;genetic_syndrome_ynu;previous_cancer_genetic_syndromes;EURACAN;Genetic syndrome;1, Yes | 2, No | 9, Unknown
genetic;26;Specify the genetic abornalities found;Patient's history;PaedCan;;String
genetic;26;Genetic chronic primary adrenal insufficiency;ADRENAL;EuRR-Bone & EuRRECa;Genetic chronic primary adrenal insufficiency;
genetic;26;Genetic hypoparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Genetic hypoparathyroidism;
genetic;26;Genetic hyperparathyroidism;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Genetic hyperparathyroidism;
genetic;26;Genetic diabetes mellitus;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Genetic diabetes mellitus;
genetic;26;Other genetically specified MODY;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified MODY;
genetic;26;Other genetically specified neonatal diabetes;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified neonatal diabetes;
genetic;26;Genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Genetic defects in insulin action;
genetic;26;Other specified genetic defects in insulin action;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other specified genetic defects in insulin action;
genetic;26;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;
genetic;26;Non-Syndromic Genetic Obesity - Other;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non-Syndromic Genetic Obesity - Other;
genetic;26;Syndromic Genetic Obesity – Prader-Willi Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Prader-Willi Syndrome;
genetic;26;Syndromic Genetic Obesity – PWS like Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – PWS like Syndrome;
genetic;26;Syndromic Genetic Obesity – PHP with AHO;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – PHP with AHO;
genetic;26;Syndromic Genetic Obesity – Rubenstein Taybi Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Rubenstein Taybi Syndrome;
genetic;26;Syndromic Genetic Obesity – Temple Syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity – Temple Syndrome;
genetic;26;Syndromic Genetic Obesity - Other;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Syndromic Genetic Obesity - Other;
genetic;26;Combined pituitary hormone deficiencies, genetic forms;PITUITARY;EuRR-Bone & EuRRECa;Combined pituitary hormone deficiencies, genetic forms;
genetic;26;Please specify result of cytogenetic analysis ;Genetic diagnosis;ERKNet; ;gen_cyto_result
genetic;26;Please specify genetic abnormality;Genetic diagnosis;ERKNet;If no gentetic specifications are given in diagnosis;gen_result
genetically;2;Other genetically specified MODY;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified MODY;
genetically;2;Other genetically specified neonatal diabetes;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Other genetically specified neonatal diabetes;
genetics;1;Genetics  (germline);subject;Genturis;;compound
geneticvariantlabel;1;geneticVariantLabel;geneticVariant;Genturis;;string
genital;17;R_PBC_Tanner_stage_genital_breast;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
genital;17;R_PBC_Tanner_stage_genital_breast_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
genital;17;Congenital Adrenal Hyperplasia;ADRENAL;EuRR-Bone & EuRRECa;Congenital Adrenal Hyperplasia;
genital;17;Congenital-generalized lipodystrophy;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Congenital-generalized lipodystrophy;
genital;17;Congenital isolated hyperinsulinism;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Congenital isolated hyperinsulinism;
genital;17;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Non-Syndromic Genetic Obesity - Congenital Leptin Resistance;
genital;17;Obesity due to congenital leptin deficiency;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Obesity due to congenital leptin deficiency;
genital;17;Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome;
genital;17;Congenital hypogonadotropic hypogonadism;PITUITARY;EuRR-Bone & EuRRECa;Congenital hypogonadotropic hypogonadism;
genital;17;Congenital isolated ACTH deficiency;PITUITARY;EuRR-Bone & EuRRECa;Congenital isolated ACTH deficiency;
genital;17;Congenital Adrenal Hyperplasia;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Congenital Adrenal Hyperplasia;
genital;17;Complex genital anomalies;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Complex genital anomalies;
genital;17;Congenital Adrenal Hyperplasia;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Congenital Adrenal Hyperplasia;
genital;17;Normosmic congenital hypogonadotropic hypogonadism;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Normosmic congenital hypogonadotropic hypogonadism;
genital;17;Transient congenital hypothyroidism;THYROID;EuRR-Bone & EuRRECa;Transient congenital hypothyroidism;
genital;17;Permanent congenital hypothyroidism;THYROID;EuRR-Bone & EuRRECa;Permanent congenital hypothyroidism;
genital;17;Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome ;
genome;3;Genome build;geneticVariant;Genturis;Genome build;categorical
genome;3;Genome Location;;ithaca;;string
genome;3;Reference genome;;ithaca;;categorical
genomic;3;Variant at genomic reference sequence;geneticVariant;Genturis;What is the g. notation? (HGVS nomenclature);string
genomic;3;Region (in genomic coodinates < array);;ithaca;;string
genomic;3;Link to Genomic variant;;ithaca;;mref
genturis;2;Consent for GENTURIS registry;subject;Genturis;Has the patient signed consent for the GENTURIS registry?;enum
genturis;2;Date GENTURIS registry consent;subject;Genturis;At what date (yyyy-mm-dd) was the informed consent for the GENTURIS registry signed?;date
germline;3;Genetics  (germline);subject;Genturis;;compound
germline;3;Tumour Types(Germline);;ithaca;;string
germline;3;Germline mutations;Patient's history;PaedCan;Report if any specific genetic abnormallitis have been detected in the patient;yes/no/unknown
gestational;1;Familial gestational hyperthyroidism;THYROID;EuRR-Bone & EuRRECa;Familial gestational hyperthyroidism;
ggt;2;dia_lab_ggt;Diagnosis Laboratory data;Rare Liver (Vascular);GGT;numeric
ggt;2;dia_lab_ggt_normal_value;Diagnosis Laboratory data;Rare Liver (Vascular);GGT normal value;numeric
gi;99;Spinal rigidity;Diagnosis Skeletal;EURO-NMD;;yesno
gi;99;Scapular winging;Diagnosis Skeletal;EURO-NMD;;yesno
gi;99;Nasal regurgitation;Bulbar/Gi ;EURO-NMD;;single
gi;99;R_AIH_Liver_imaging_consistent_cirrhosis;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_PBC_Cholangitis_activity_nakanuma;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Cholangitis activity;numeric
gi;99;R_PBC_Nakanuma_staging_score;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma staging score;calculation
gi;99;R_PBC_Imaging_consistent_with_cirrhosis;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_PSC_Cholangitis_activity_nakanuma;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Cholangitis activity;numeric
gi;99;R_PSC_Nakanuma_staging_score;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Nakanuma grading score;calculation
gi;99;R_PSC_Cholangioscopy;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Cholangioscopy;radio
gi;99;R_PSC_Imaging_consistent_cirrhosis;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_PSC_Cholangitis;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Cholangitis (Clinical diagnosis requires antibiotic use);radio
gi;99;R_AIH_Liver_imaging_consistent_with_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_AIH_Date_imaging_consistent_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date liver imaging consistent with cirrhosis;date
gi;99;R_PSC_IBD_histological_remission_followup;PSC Follow-up Cancer surveillance;Rare Liver (Auto imune);IBD in histological remission;radio
gi;99;R_PSC_Cholangitis_activity_nakanuma_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Cholangitis activity;numeric
gi;99;R_PSC_Nakanuma_staging_score_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma staging score;calculation
gi;99;R_PSC_Imaging_consistent_cirrhosis_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_PSC_Date_liver_imaging_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date liver imaging;date
gi;99;R_PSC_Cholangitis_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Cholangitis (clinical diagnosis requires antibiotics);radio
gi;99;R_PSC_Date_cholangitis_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date cholangitis;date
gi;99;R_PSC_Cholangioscopy_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Cholangioscopy;radio
gi;99;R_PSC_AIH_Change_of_immunosuppressive_regimen_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Change of immunosuppressive regimen (other than dose change);radio
gi;99;R_AIH_Cholangitis_activity_nakanuma_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Cholangitis activity;numeric
gi;99;R_AIH_Nakanuma_staging_score_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Nakanuma staging score;calculation
gi;99;R_AIH_Liver_imaging_consistent_cirrhosis_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_AIH_Change_of_immunosuppressive_regimen_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);Change of immunosuppressive regimen (other than dose change);radio
gi;99;R_AIH_PSC_Cholangioscopy_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);Cholangioscopy;radio
gi;99;R_PBC_Cholangitis_activity_nakanuma_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Cholangitis activity;numeric
gi;99;R_PBC_Nakanuma_staging_score_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Nakanuma staging score;calculation
gi;99;R_PBC_Liver_imaging_consistent_with_cirrhosis_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
gi;99;R_PBC_Date_imaging_consistent_with_cirrhosis_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Date of imaging consistent with cirrhosis;date
gi;99;R_PBC_AIH_Change_of_immunosuppressive_regimen_followup;PBC Follow-up Treatment;Rare Liver (Auto imune);Change of immunosuppressive regimen (other than dose change);radio
gi;99;gastro_intest_bleed_origin;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Gastro-intestinal bleeding origin;radio
gi;99;imaging_number_onset;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Number of inconclusive abdominal imaging performed between onset of manifestations and diagnosis;radio
gi;99;mri_cholangio;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Cholangio MRI;radio
gi;99;pv_origin;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Longitudinal assessment: portal vein origin;radio
gi;99;imaging_number_conclusive;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Number of conclusive abdominal imaging performed;radio
gi;99;number_miscarriagies;Diagnosis Aetiology;Rare Liver (Vascular);Number of miscarriages;radio
gi;99;other_aetiological_factors;Diagnosis Aetiology;Rare Liver (Vascular);Other potential aetiological factors Condition(s);textarea
gi;99;fu_gi_bleeding;Follow-up Complications;Rare Liver (Vascular);Gastrointestinal bleeding;radio
gi;99;first_angioplasty;Follow-up Events;Rare Liver (Vascular);First angioplasty/stenting of HV or IVC;radio
gi;99;first_surgical_porto_shunt;Follow-up Events;Rare Liver (Vascular);First surgical portosystemic shunting;radio
gi;99;revision_tips_angioplasty;Follow-up Events;Rare Liver (Vascular);Revision of TIPS or angioplasty;radio
gi;99;radiological_dysfunc_tips;Follow-up Events;Rare Liver (Vascular);Radiological dysfunction;radio
gi;99;pat_angioplasty_stents;Follow-up Events;Rare Liver (Vascular);Was a angioplasty/stenting performed in a previous f-u period;radio
gi;99;date_of_evaluation_angio;Follow-up Events;Rare Liver (Vascular);Date of evaluation;date
gi;99;clinical_dysfunction_angio;Follow-up Events;Rare Liver (Vascular);Clinical dysfunction;radio
gi;99;hemodynamic_dysfunc_angio;Follow-up Events;Rare Liver (Vascular);Hemodynamic (but not clinical) dysfunction;radio
gi;99;radiological_dysfunc_angio;Follow-up Events;Rare Liver (Vascular);Radiological dysfunction;radio
gi;99;salvage_procedure_angio;Follow-up Events;Rare Liver (Vascular);Salvage procedure;radio
gi;99;fu_proc_type_angio;Follow-up Events;Rare Liver (Vascular);Type of procedure;string
gi;99;date_salvage_proc_angio;Follow-up Events;Rare Liver (Vascular);Date of salvage procedure;date
gi;99;radiologic_dysfunct_shunt;Follow-up Events;Rare Liver (Vascular);Radiological dysfunction;radio
gi;99;fu_ima_bef_cholangiopathy;Follow-up Imaging data;Rare Liver (Vascular);MRI documented cholangiopathy;radio
gi;99;fu_ima_bef_imaging_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
gi;99;fu_ima_last_cholangiopathy;Follow-up Imaging data;Rare Liver (Vascular);MRI documented cholangiopathy;radio
gi;99;"a.	CMV serological status donor:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
gi;99;"b.	EBV serological status donor:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
gi;99;"c.	CMV serological status recipient:";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
gi;99;"d.	EBV serological status recipient:	";"5.	Infections:";Eurogen (Kid Transplantation);;[Radio button, one selection]
gi;99;Number of meningioma;benignNeoplasm;Genturis;What is the maximal number of meningiomas ever observed in this patient?;int
gi;99;Consent for GENTURIS registry;subject;Genturis;Has the patient signed consent for the GENTURIS registry?;enum
gi;99;Date GENTURIS registry consent;subject;Genturis;At what date (yyyy-mm-dd) was the informed consent for the GENTURIS registry signed?;date
gi;99;Region (in chromosome and band/bands);;ithaca;;string
gi;99;Region (in genomic coodinates < array);;ithaca;;string
gi;99;Consent for ERN databases/Registries/research;;ithaca;;bool
gi;99;Patient's biological sample available for research ;;ithaca;;bool
gi;99;Name of the physician responsible for patient coding in the registry;;ithaca;;xref
gi;99;Biologic diagnosis;;ithaca;;compound
gi;99;Biologic diagnosis;;ithaca;;categorical
gi;99;consent_biological_data;patient_management_at_the_hospital;EURACAN;Consent to use biological data;1, Yes | 2, No
gi;99;staging_proc_req;stage_procedures;EURACAN;Staging procedures done/requested by;1, the hospital | 2, a different hospital
gi;99;clinical_staging_auto_0;stage_procedures;EURACAN;Clinical staging (automatic) = 0;
gi;99;clinical_staging_auto_1;stage_procedures;EURACAN;TESTING Clinical staging (automatic) = 0;
gi;99;staging_def_clin;stage_procedures;EURACAN;Clinical staging defined by;1, the hospital | 2, a different hospital
gi;99;pathological_na;stage_procedures;EURACAN;Pathological T, N, M;1, Not applicable
gi;99;fu_awd_regional;clinical_update;EURACAN;AWD, Regional;1, Yes | 2, No | 3, Unknown
gi;99;surgery_margins;surgery;EURACAN;Margins after surgery;0, R0 (microscopic negative) | 1, R1 (microscopic positive) | 2, R2 (macroscopic positive) | 9, Unknown
gi;99;chemo_regimen;chemotherapy;EURACAN;Regimen;1, 5-FU / Hydroxyurea | 2, 5-FU, 2nd line | 3, Capecitabine | 4, Capecitabine, 2nd line | 5, Carboplatin | 6, CE, 1st line | 7, Cetuximab | 8, Cetuximab, 2nd line | 9, Cetuximab-based chemotherapy, 1st line | 10, CF | 11, Cisplatin, 2nd line | 12, CP | 13, CP, 1st line | 14, Docetaxel | 15, Docetaxel, 2nd line | 16, Gemcitabine | 17, GP | 18, High-dose cisplatin | 19, Methotrexate, 2nd line | 20, Nivolumab, 2nd line | 21, Paclitaxel | 22, Paclitaxel, 2nd line | 23, Pembrolizumab, 2nd line | 24, PF | 25, PF or CF | 26, PF, 1st line | 27, TC | 28, TC, 1st line | 29, TP | 30, TP, 1st line | 31, TPEx, 1st line | 32, TPF | 33, Vinorelbine, 2nd line | 34, Weekly cisplatin
gi;99;Country of registration;Personal Information;PaedCan;Country where the patient is registered;String
gi;99;Center of registration;Personal Information;PaedCan;Center where the patient is registered;String
gi;99;To be included in the registry;Informed consent;PaedCan;Definition whether consent for patient's registration was obtained;yes/no
gi;99;Biological sample available for research;Pathology;PaedCan;Patient’s biological sample available;yes/no
gi;99;Regional lymphnodes involvement (N);Tumor's characteristics;PaedCan;Regional lymphnodes involvement according to clinical, radiology or pathology evidence (TNM system);N0/N1/Nx
gi;99;Surgical complications of tumor resection;Surgery;PaedCan;Presence or absence of any surgical complication ;yes/no/unknown
gi;99;Chemotherapy given according to a protocol or guidelines;Chemotherapy;PaedCan;;yes/no/unknown
gi;99;Please give more details about the treatment of the event;Events;PaedCan;;String
gi;99;Registry unique identifier;Identifiers;EuRR-Bone & EuRRECa;Patient's ID;String
gi;99;Consent for Core Registry;Consent;EuRR-Bone & EuRRECa;Consent to add patients details to the Core Registry;String
gi;99;Patient would like access to Core registry;Research;EuRR-Bone & EuRRECa;Patient is provided with access to a read-only version of their record;Y/N/NK
gi;99;Information provided on creating a patient account in Core Registry;Research;EuRR-Bone & EuRRECa;Information will be provided when obtaining consent on how to create an account and access data on Core Registry;Y/N/NK
gi;99;Participation in detailed Disease Registry;Research;EuRR-Bone & EuRRECa;Involvement in detailed disease registries;Y/N/NK
gi;99;Detailed Disease Registry;Research;EuRR-Bone & EuRRECa;Name;String
gi;99;Detailed Disease Registry patient ID;Research;EuRR-Bone & EuRRECa;;String
gi;99;Noonan syndrome with multiple lentigines;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Noonan syndrome with multiple lentigines;
gi;99;Fragile X syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Fragile X syndrome;
gi;99;Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome;
gi;99;Pituitary hormone deficiency from meningeal origin;PITUITARY;EuRR-Bone & EuRRECa;Pituitary hormone deficiency from meningeal origin;
give;2;Chemotherapy given according to a protocol or guidelines;Chemotherapy;PaedCan;;yes/no/unknown
give;2;Please give more details about the treatment of the event;Events;PaedCan;;String
given;1;Chemotherapy given according to a protocol or guidelines;Chemotherapy;PaedCan;;yes/no/unknown
gland;3;Familial isolated hypoparathyroidism due to agenesis of parathyroid gland;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Familial isolated hypoparathyroidism due to agenesis of parathyroid gland;
gland;3;Autoimmune polyglandular syndrome I;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome I;
gland;3;Autoimmune polyglandular syndrome II;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autoimmune polyglandular syndrome II;
global;2;Global developmental delay-lung cysts-overgrowth-Wilms tumour syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Global developmental delay-lung cysts-overgrowth-Wilms tumour syndrome;
global;2;Short stature-brachydactyly-obesity-global developmental delay syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Short stature-brachydactyly-obesity-global developmental delay syndrome;
globulins;9;R_AIH_yGlobulins;(AIH Diagnosis) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_PBC_yGlobulins;(PBC Diagnosis) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_PSC_yGlobulins;(PSC Diagnosis) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_AIH_yGlobulins_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_PSC_yGlobulins_followup;PSC Follow-up Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_AIH_yGlobulins_followup;AIH Follow-up Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;R_PBC_yGlobulins_followup;PBC Follow-up Lab values;Rare Liver (Auto imune);yGlobulins;numeric
globulins;9;dia_lab_serum_gamma_globulins;Diagnosis Laboratory data;Rare Liver (Vascular);Serum gamma-globulins IgG;numeric
globulins;9;dia_lab_serum_gamma_globulins_normal_value;Diagnosis Laboratory data;Rare Liver (Vascular);Serum gamma-globulins normal value;numeric
glucocorticoid;1;Familial glucocorticoid deficiency;ADRENAL;EuRR-Bone & EuRRECa;Familial glucocorticoid deficiency;
glucokinase;1;Hyperinsulinism due to glucokinase deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Hyperinsulinism due to glucokinase deficiency;
glucose;3;dia_lab_fasting_glucose_unit;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting Serum Glucose Unit;radio
glucose;3;dia_lab_fasting_glucose_value_mmol_l;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting serum glucose value;numeric
glucose;3;dia_lab_fasting_glucose_value_mg_dl;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting serum glucose value;numeric
